scene_id,im_id,obj_id,score,R,t,time
000056,000001,1,0.0,-0.8041959002159698 -0.5943643277282261 -0.0 -0.30058622736152735 0.4067037680902968 -0.8626934362458765 0.5127542042698336 -0.6937745245721609 -0.5057272338507012,0.0 0.0 0.0,0.3061656951904297
000056,000001,10,0.0,0.3776432332830237 0.9259511803305528 0.0 -0.10866115470611183 0.044316753050451206 -0.9930905189644093 -0.9195533382101759 0.37503391452443546 0.11735084636678277,0.0 0.0 0.0,0.14043331146240234
000056,000001,11,0.0,0.9558837053951854 -0.2499484550300762 0.1543117350950617 0.29373346744574114 0.8180590105828862 -0.49446951908732567 -0.002644212977852778 0.5179818771272093 0.8553875046465785,50.62588182385703 13.166918914804999 632.8542678347768,0.14127302169799805
000056,000001,15,0.0,0.1564322078930065 0.9876886980894938 0.0 0.0 0.0 -1.0 -0.9876886980894938 0.1564322078930065 0.0,0.0 0.0 0.0,0.17172551155090332
000058,000030,3,0.0,-0.9969368234104186 -0.07821106141936679 -0.0 -0.07334528492812155 0.9349139883973913 -0.3472121879740043 0.027155833759187578 -0.346148615728185 -0.9377865943391944,0.0 0.0 0.0,0.16912293434143066
000058,000030,7,0.0,-0.4600883402593702 0.887873143617588 0.0 -0.42713115144552954 -0.22133574368624986 -0.8766809385584192 -0.7783814608674812 -0.40335067795837 0.48107227312362244,0.0 0.0 0.0,0.13525724411010742
000058,000030,8,0.0,0.16425034395357582 -0.986418686213482 0.0 0.5898101180569907 0.09821034020557244 -0.801547723915616 0.7906616527622488 0.13165448934834575 0.5979308039277584,0.0 0.0 0.0,0.1616356372833252
000058,000030,11,0.0,-0.9567694571118097 0.29066860845706466 -0.01019637168832753 0.176074697750286 0.550954614794523 -0.8157491729991296 -0.23149493892981404 -0.782279216452957 -0.5783159350697762,13.488388034123478 2.436235507195664 696.2682482980557,0.16615533828735352
000059,000001,2,0.0,-0.9999668248098676 -0.008145506716662755 -0.0 0.004119406425881883 -0.5057106828435779 -0.862693303410071 0.0070270740973467135 -0.8626646833957045 0.5057274604482332,0.0 0.0 0.0,0.17489886283874512
000059,000001,4,0.0,0.5877807991769739 0.8090202297340147 0.0 -0.740290224705818 0.5378461055832269 -0.4033509017145816 -0.32631903916855276 0.23708191535854983 0.9150453814352782,0.0 0.0 0.0,0.18032503128051758
000059,000001,6,0.0,-0.8851299512349208 0.4653439259589263 0.0 -0.1286195917594955 -0.24464712362440122 -0.9610435918926507 -0.44721579806899425 -0.850648467626575 0.27639684238802786,0.0 0.0 0.0,0.16417813301086426
000059,000001,9,0.0,0.0 1.0 0.0 -0.2801170709796104 0.0 -0.9599658465517427 -0.9599658465517427 0.0 0.2801170709796104,0.0 0.0 0.0,0.1472470760345459
000059,000001,15,0.0,-0.6582074579151016 -0.7528365973735204 -0.0 0.3057010103628153 -0.2672753763764675 -0.9138439502704889 0.6879751700520113 -0.6014989034386329 0.4060655545032457,0.0 0.0 0.0,0.12422037124633789
000059,000001,18,0.0,0.9784891703907554 -0.20629819055922669 0.0 -0.13047562114611147 -0.618856529693237 -0.7745919622243573 0.15979692022860575 0.7579298465082588 -0.6324612968849714,0.0 0.0 0.0,0.21890544891357422
000057,000001,4,0.0,0.7107869538161335 0.7034073544432 0.0 0.36627140980135425 -0.3701140427352011 -0.8537334769893554 -0.600522406448677 0.6068226174801201 -0.5207102363768796,0.0 0.0 0.0,0.13460898399353027
000057,000001,12,0.0,0.7639295614884379 0.6452996397675136 0.0 -0.07572649768271796 0.08964782653319912 -0.9930905118601139 -0.6408409495598671 0.7586511992436251 0.1173509064874117,0.0 0.0 0.0,0.17970943450927734
000057,000001,18,0.0,0.0 -1.0 0.0 0.7699929439296836 0.0 -0.6380524009033263 0.6380524009033263 0.0 0.7699929439296836,0.0 0.0 0.0,0.1858077049255371
000057,000001,20,0.0,1.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1.0,0.0 0.0 0.0,-0.01983022689819336
