scene_id,im_id,obj_id,score,R,t,time
000056,000001,1,0.0,0.30669817519317 0.9516858311681919 0.015175904812812835 0.2960988929301052 -0.08024587312570375 -0.9517804607428436 -0.9045781751395209 0.29640289910863127 -0.30640438388060454,-92.59889408002962 22.628804724212163 891.4983204400341,9.078741073608398
000056,000001,10,0.0,-0.3263627888605839 0.7269214908239638 -0.6042122774533865 0.163494730500025 -0.5861669668114504 -0.7935223753101033 -0.9309977460476833 -0.3577616988965282 0.0724552527895943,-96.61582284593257 156.7592811835445 1233.8593763078209,0.7548811435699463
000056,000001,11,0.0,-0.6273667558807581 -0.777921064222941 -0.03535210678163786 -0.23795529878973737 0.23473341154501193 -0.9424847485674913 0.7414770592496711 -0.5828713780438078 -0.3323743781698171,36.05197210801653 6.3879426647077375 749.0959916813774,75.1784336566925
000056,000001,15,0.0,-0.9565873759803889 0.021717441213569944 -0.290635415705122 0.08226344487824024 -0.936550951490705 -0.34074189777398933 -0.27959491724943547 -0.34985806837772115 0.8941062656302613,-104.04723872396961 -37.02236883008318 920.8506715303961,5.330868482589722
000058,000030,3,0.0,0.3745178002859977 0.9272142438575862 0.0031879862831922234 0.4883513038493431 -0.19432847033360023 -0.8507346529009203 -0.7881937714151157 0.3201721280895753 -0.5255857561778179,142.764479980823 22.275894714489688 900.6629928843863,10.716553688049316
000058,000030,7,0.0,-0.9771647780809897 -0.14746625851450634 -0.15297940736472715 0.18348932925144246 -0.22257821871752592 -0.957491829000848 0.10714785358926276 -0.9636973794466114 0.24455408056081984,145.62431748436845 64.08289886712853 1137.2325254602333,1.856186866760254
000058,000030,8,0.0,-0.2665410526017915 0.8900020655550291 0.3699353870417246 0.8946394257997621 0.08566454453687855 0.4384995822278069 0.3585751874887624 0.4478369224584667 -0.8190640547602661,128.3690873014911 117.83709160042383 915.3578635345947,0.9155504703521729
000058,000030,11,0.0,-0.9991036080876332 0.028950955044852403 0.03088401703574168 -0.014699460930739535 0.44690335077185805 -0.8944614697778946 -0.03969768449946053 -0.8941136601522631 -0.44607718679002695,-41.68386597997227 22.82843762862091 850.9528845682212,99.73243451118469
000059,000001,2,0.0,-0.059075334399783075 -0.9876067419529666 0.1454064239110516 -0.8658652506125997 -0.021793287544958573 -0.49980238134643074 0.4967770854690602 -0.1554283624922729 -0.8538469133784092,-231.96219800439556 -106.97456743183494 3450.9237071117304,0.3797750473022461
000059,000001,4,0.0,0.19543739471805022 0.9806238810724935 0.013454687515542685 0.46448175684502047 -0.0804703624758395 -0.881919054290795 -0.8637481822290477 0.1786094192178197 -0.4712088210790295,-63.65559209235288 87.39075514728911 847.8213810085731,2.8547489643096924
000059,000001,6,0.0,0.022788221435162903 -0.9984338991186972 0.05109252444788376 -0.5315131671384525 -0.05538429180694471 -0.8452374420122992 0.8467434381926287 -0.007894891492526812 -0.5319428734046989,44.69047642302375 70.38470838348638 960.7543800772678,0.621124267578125
000059,000001,9,0.0,0.5602009545166835 0.6279180103136691 0.5402720267442318 0.3022018109333011 0.4523483125009776 -0.8390798946740123 -0.7712645175471451 0.6333245427908516 0.06364799660263264,-124.7050740405118 3.8189257249679347 1665.0896619130767,0.2909820079803467
000059,000001,15,0.0,-0.3349236649837459 -0.7009725932215117 -0.6296535255091997 -0.06769843707956891 0.6844228243684313 -0.7259354786071021 0.9398101192532664 -0.2005064114582069 -0.2766841497327106,39.26183540267841 -166.40805536534748 1082.058202912633,22.34792995452881
000059,000001,18,0.0,0.8459686413111904 0.3130122397713552 -0.4316947945845746 -0.5213555051474416 0.6554485675812719 -0.5464207284758832 0.11191735866501917 0.6873212589531758 0.7176795885494215,28.623799181292092 128.9599379811463 790.217678197946,0.7416956424713135
000057,000001,4,0.0,-0.3300392580224026 0.9334285597933101 0.1406599158474423 0.44984328810296415 0.2865243402621518 -0.8458988229014468 -0.8298886095812715 -0.21590490082331765 -0.5144608532121152,-36.88443409998593 64.23040511435984 913.0847577441597,1.8686859607696533
000057,000001,12,0.0,0.9219385828656581 0.1403117968865505 0.3610288756846597 0.27168602241989825 0.43008349668203444 -0.8609383782265773 -0.27607237211520563 0.8918188075703618 0.35838981545024623,173.88464662397527 -60.41213444130554 1087.319476056197,14.650765895843506
000057,000001,18,0.0,0.8500740434835887 -0.3129764344316962 0.42357982964948154 0.5160513134553273 0.6556267457026271 -0.5512210193746372 -0.10519107603068395 0.6871676082367422 0.7188431788044608,17.119607106742016 24.80758810808796 886.143976962593,0.859647274017334
000057,000001,20,0.0,1.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1.0,0.0 0.0 0.0,-0.01576089859008789
000057,000001,21,0.0,0.917272391978021 0.3914891381067604 -0.07312737968329963 -0.049558820815477744 -0.06998673849342951 -0.9963161043135013 -0.39516487975818265 0.917517362876299 -0.044795162977969566,74.89831580057174 24.643469735944063 1233.6446644369641,0.438948392868042
000048,000001,1,0.0,0.6489545117699302 -0.760519836821735 0.02162451049373476 -0.27879577586039317 -0.2641507116110742 -0.9233078126593346 0.7079060368550711 0.5931559485969984 -0.3834515140511793,-36.65217933604759 -16.88154722354189 856.3603009797316,6.148930311203003
000048,000001,6,0.0,-0.8398349782011705 0.5388298317931385 -0.06587580557091952 0.19166761219017836 0.1808014679368567 -0.9646628196573108 -0.5078786625042983 -0.8227838364732598 -0.2551196241201157,19.306712610835632 55.94517802130058 804.5885775629448,1.5940463542938232
000048,000001,14,0.0,0.8780685981681463 0.4559250066733238 -0.1453544811863597 0.025465558932231375 -0.34783791371388345 -0.9372087766828915 -0.4778567172482723 0.8192320636261147 -0.31703593441059985,-25.17098565395844 -126.61874063167456 883.6028790312675,1.4256346225738525
000048,000001,19,0.0,-0.4676711338332226 0.22416674872060932 0.8550046662721669 0.778575463525295 0.5624119814009205 0.27841158519907666 -0.4184542486049343 0.7958907160814994 -0.4375545793152644,-302.4396327627841 237.14060543353486 2402.55099888326,0.8357498645782471
000048,000001,20,0.0,-0.1752961125252135 -0.20443186936124974 -0.9630570511257432 0.027432435989337367 -0.9788382253467364 0.20278853531633054 -0.9841334941913309 0.009129040996547738 0.1771945998647947,76.57202455446665 -46.471479941099915 1304.3917954833219,9.26433801651001
000049,000001,3,0.0,-0.06446234892126287 0.9456061648321856 0.31886295896970984 -0.7021932758906171 0.18405560655012926 -0.6877849496692029 -0.7090622038055316 -0.2682396591274854 0.6521336338555261,17.845867850620085 -10.617780508819301 805.8003463704532,8.026053428649902
000049,000001,6,0.0,0.839119838939744 -0.3964227314242991 0.3724606206135578 -0.26712589752496646 -0.8968026811639658 -0.352687830706708 0.4738371563830972 0.1964534781245178 -0.858419699310052,152.3090230445365 -89.75819581947839 943.34184219215,0.4872629642486572
000049,000001,9,0.0,-0.7983169278299396 -0.5978963091958853 -0.07218092677505261 -0.34055611391253376 0.5470329101165753 -0.7647068252122411 0.49670073083997013 -0.5858967474729058 -0.6403228758085329,-68.5827753164944 -66.15893283730598 941.5060841372618,1.6890835762023926
000049,000001,13,0.0,-0.997603329016213 0.06835763299319694 0.010715966934301584 0.033589179771290244 0.6138384079581944 -0.7887167906908291 -0.06049268499630016 -0.7864665555043752 -0.6146633160804555,52.437282284676414 65.96217025694447 1058.890607750912,7.24801230430603
000050,000620,2,0.0,0.9496948817109752 0.0316299703509767 0.3115753145349823 0.11234839088460527 0.8942564226409673 -0.4332242948300794 -0.29233109776008565 0.4464358806603429 0.8457171712466333,52.99785024736198 -86.65587430225753 1057.3638746264808,14.222521781921387
000050,000620,4,0.0,1.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1.0,0.0 0.0 0.0,-0.014508962631225586
000050,000620,5,0.0,0.8131275016404418 0.5646723236119556 0.14131112136929744 -0.053428750080113385 0.31414504503774016 -0.9478703810875794 -0.5796283591585648 0.7631893982655361 0.2856097120796818,95.40901754943478 -18.36782846303167 879.9050105024836,15.543803691864014
000050,000620,10,0.0,0.36854395476022683 -0.8640872983384931 -0.34282429065014663 -0.802722955595806 -0.10981639224244633 -0.5861537482217333 0.4688402819396238 0.491216348307889 -0.7340948775096015,-15.123163827960944 65.38308675196905 779.7754409130043,5.634018421173096
000050,000620,15,0.0,-0.6372575373649298 0.732425408470134 0.23969950375197313 -0.34650351085495124 -0.5501364869707781 0.7597928419435415 0.6883590255359318 0.4011269957641944 0.604366598375865,-107.81324460444038 57.71257123374063 960.6722644784899,19.9967999458313
000051,000001,1,0.0,0.4921168523528704 -0.8699996306878415 -0.03035862699996761 -0.4205601022823698 -0.2070671716957917 -0.8833189609502041 0.7622008947767945 0.447463773962681 -0.4677883784282467,41.00253207225424 -6.52478912085614 1051.9247513163127,7.498035669326782
000051,000001,3,0.0,0.09124569295320789 0.9682013916712461 -0.2329383795842826 -0.8608041336503184 -0.04092357723129234 -0.5072883837790091 -0.5006899909205433 0.24680220013698592 0.8296976599940061,-44.39383968112565 101.64792644233484 895.9270571470778,3.521289825439453
000051,000001,4,0.0,0.7356950616791162 0.4054013419934197 0.54258872834855 0.5802470074361112 0.03598845147301857 -0.8136450342268502 -0.3493797169018254 0.9134301195332399 -0.20875638947608685,27.924283576167646 67.47961521282424 499.9310077523275,1.5137581825256348
000051,000001,12,0.0,0.8268544912026929 -0.5623374187580741 0.009395628900827874 -0.26489975848989933 -0.4041336063616524 -0.8755022251034648 0.49612475077336005 0.7214240470580608 -0.4831227338849208,-56.33081291436748 -76.8051374095142 1043.8627050256534,20.217375993728638
000051,000001,17,0.0,0.40690695001013377 0.9057503206715942 0.11850354693744197 0.4365417996293233 -0.07885892364589431 -0.8962212490996866 -0.8024076216050304 0.416410406647955 -0.42748611910264733,-133.21157059876813 98.39669629669085 999.444062010083,1.9077260494232178
000052,000001,5,0.0,0.6266060949394933 0.7527818139358236 0.2017036003450861 0.5418121358157981 -0.23475298534306838 -0.8070505841366081 -0.5601824803288675 0.6149882734491842 -0.5549639738330673,73.70791021942887 87.62560285497517 972.5189861140589,7.991133689880371
000052,000001,6,0.0,-0.4126178532143916 -0.9026766546037807 0.12215303697441965 -0.6479774429410311 0.19661683540531605 -0.7358444492382895 0.6402122621821218 -0.382774969490595 -0.6660417269834709,-37.7142902646799 125.67554085361046 996.2121376761571,0.5725002288818359
000052,000001,11,0.0,0.8090591489594442 0.554783198731361 0.19400746349153644 0.4583914547445915 -0.38905283677738256 -0.7990714388667691 -0.36783225484201054 0.73542742170854 -0.5690746345576928,14.474524384044958 -9.455666617719134 954.2460202682786,25.1971595287323
000053,000001,4,0.0,-0.14011391323407807 -0.9880367561993172 0.06443182224153093 -0.6769770914896424 0.04810877721588258 -0.7344300941226583 0.7225441916702795 -0.14652274210484711 -0.6756189585332985,-30.204915030900125 72.52254980133554 805.958550823435,3.0880701541900635
000053,000001,9,0.0,-0.8383638761725715 0.5415500464636661 0.06220577388074558 0.34027695219592424 0.6090682251550171 -0.7164129346339095 -0.42586101833010515 -0.5794475336747226 -0.6948977973667261,-38.751057283637536 4.487917513063501 859.023117913769,1.6656160354614258
000053,000001,13,0.0,0.3629718379552486 -0.8017241637410788 -0.4748576735455128 0.11820751307055294 0.5451143820683247 -0.8299863217643672 0.9242718370182357 0.24512991603624512 0.29263098871958115,20.680137161799404 51.04438399782608 447.48265091357587,7.886681318283081
000054,000001,2,0.0,-0.2710589446023315 0.9611713244987878 0.05173715794586975 0.5053968330286185 0.18785913972961077 -0.8421893995917386 -0.8192075986681965 -0.20213517403286374 -0.5366938435486202,-123.0920192340478 -92.34259616653648 1025.037224373343,15.64457368850708
000054,000001,3,0.0,0.8916368887092841 0.1899020649348377 0.4109998350684736 0.42702441578131906 -0.051088604993370715 -0.90279571485827 -0.1504453622397546 0.9804729267926352 -0.12664530313925182,-32.94632472972917 103.02114067841664 204.69029091918128,11.295565843582153
000054,000001,12,0.0,-0.9460376728569029 -0.3236964813636849 0.015274471783512489 -0.15194250413800964 0.40144885518759255 -0.9031900642195098 0.28622752657940964 -0.856772667993874 -0.42896899469179883,-132.295952956581 -50.776144749979984 1012.3649870017508,23.578983306884766
000054,000001,15,0.0,-0.6786931102363896 0.03439193314047309 0.7336162873413576 -0.3784860957882322 -0.8724172798911753 -0.30925129755954756 0.6293837759369376 -0.4875502893878168 0.6051204656142603,23.72329904413677 -1.3326777999749377 979.9348846325303,10.0679612159729
000054,000001,19,0.0,1.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1.0,0.0 0.0 0.0,-0.01697850227355957
000055,000022,1,0.0,0.2538274664959552 -0.9660596822618863 -0.04796152166381318 -0.4011072323054019 -0.06000888088406009 -0.9140634126839031 0.8801616927840847 0.25125211346992943 -0.40272542759595953,104.39505987852006 133.2139715713202 1050.3806848110912,1.7822904586791992
000055,000022,3,0.0,-0.9666811216590065 0.09301290554995745 -0.2384873338968752 -0.04194395985601468 -0.9766126223728159 -0.2108755321361129 -0.2525238865131019 -0.19384629277663903 0.9479743147981767,-64.46661588240933 147.0260691540437 1330.1547422907545,6.759512901306152
000055,000022,4,0.0,0.7409759128825855 -0.6668136296162905 0.07946244324061008 -0.19995535117134697 -0.3320457879376937 -0.9218261507739837 0.6410714110500968 0.6671620328456832 -0.37937088431171595,-216.82498959527584 25.886700494679943 1208.7665164725033,0.9722926616668701
000055,000022,12,0.0,1.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1.0,0.0 0.0 0.0,-0.01638031005859375
000055,000022,14,0.0,0.030182982523269675 -0.9988701435512916 0.03670727295539772 -0.5765729135084615 -0.047397255198226684 -0.8156697711746086 0.8164880054075283 0.0034549271332786624 -0.5773520594092826,-113.73895218586428 49.51359031249567 1013.4479981327345,1.1398835182189941
000055,000022,16,0.0,-0.49632771254622904 0.8398151457787664 -0.21993026776507385 -0.8657663851587971 -0.4601243214142559 0.19680999764275167 0.06408875164720597 0.28809048884622995 0.9554561748969141,-11.578391355901116 20.685927548208394 939.7223397938602,6.752346038818359
