scene_id,im_id,obj_id,score,R,t,time
000056,000001,1,0.0,0.39318659356339425 0.9181319190076525 0.04937693734264442 0.3907887448639747 -0.11826085535117214 -0.9128518647509288 -0.8322790755087219 0.3782170664987693 -0.40529420311597375,-94.1034591775224 15.983353170852418 843.5072844251988,8.600457906723022
000056,000001,10,0.0,0.9301998658975998 0.3636627019636022 -0.04977598501908084 0.059693729490123915 -0.28368483165081315 -0.9570577699129817 -0.36216690647220573 0.8872836950444779 -0.28559197531543234,-4.231896212686095 71.37920523812095 659.6888844662185,0.7323076725006104
000056,000001,11,0.0,-0.7842037321314819 -0.6204653311605486 0.006875997301184211 -0.2827552447098379 0.3474654479112639 -0.8940454317857146 0.5523350234234063 -0.7030579886009801 -0.44792352758502146,36.75626804630909 3.965812284284858 712.8068774888071,74.09155488014221
000056,000001,15,0.0,-0.9296598241710895 0.0876587505361973 -0.35783872732924216 0.09059834144339264 -0.887061475815867 -0.4526741417963725 -0.3571057992386646 -0.45325255826945826 0.8167236782243467,-105.24780269569075 -39.17177636765416 889.5038563289966,5.388496160507202
000058,000030,3,0.0,0.3909382881030621 0.9204166717780569 0.0006365595430424253 0.4828877870931032 -0.204513153681387 -0.8514656511261152 -0.7835729959431814 0.3331779108588953 -0.5244099920332649,145.74146557487427 21.85375465623388 927.2015472093043,10.845797061920166
000058,000030,7,0.0,-0.8571144299420861 0.44026433433410683 -0.2674362912889697 0.18588934254468104 -0.2198345932895469 -0.9576627297339734 -0.4804164925492869 -0.870540101033011 0.10658295445368127,36.11492270145933 41.00862808703636 490.15733211131294,1.8015656471252441
000058,000030,8,0.0,-0.24190944010995208 0.8920611118074133 0.38171559515771847 0.8974959050261015 0.056207197413141285 0.4374263954316645 0.36875591282997533 0.448405757946842 -0.8142182465365474,126.10996609236835 115.08808188499232 897.8597443881451,0.9111382961273193
000058,000030,11,0.0,-0.9987953465078779 0.03233058578815417 0.03691326342661659 -0.019218448548402878 0.4344248216610245 -0.900503040283696 -0.04514982867742 -0.9001276618054699 -0.43328014658303626,-41.38736306165208 24.248042367190944 840.6560041413444,98.61215615272522
000059,000001,2,0.0,-0.48513926842745625 -0.8472453999810305 0.21636802545814476 0.3097725707286918 -0.3979087061623479 -0.8635447967444099 0.8177290777842074 -0.3519146114772589 0.45549452419869974,-277.6158476411141 -113.34562680938166 4022.4356814712364,0.33049869537353516
000059,000001,4,0.0,0.2204345439559351 0.9753481134129143 0.010230810955543568 0.4827036461471077 -0.09996753120439861 -0.8700595857188091 -0.8475882265742175 0.19672963774369806 -0.49284038775855865,-62.414777153255535 86.06130865110802 842.4622072572505,2.621842861175537
000059,000001,6,0.0,0.034956152823256925 -0.9985486447178031 0.040971593965034525 -0.5709893810460391 -0.053601550811865906 -0.8192057131656395 0.8202128956023906 0.005241935024538513 -0.5720343765935227,45.53385989615528 68.84090866447389 957.5313711263586,0.5697956085205078
000059,000001,9,0.0,0.16789187402424444 -0.9251935602834687 0.34033688405259155 -0.32251234629570585 -0.37778877722112963 -0.8679063464986314 0.9315568179791645 0.03595157598441939 -0.3618140116976822,-74.33822099848976 41.92843028664823 811.9548168605173,0.29090285301208496
000059,000001,15,0.0,0.9074441268158387 0.33835104758676593 -0.24912592258610586 0.18503868800588266 -0.8541280843376095 -0.4860307598154947 -0.3772344637602746 0.39494782458282207 -0.837681547611498,-20.905009841749173 -31.979098454272727 967.0167650553976,22.19099998474121
000059,000001,18,0.0,-0.9685650140269161 -0.20645510144895693 0.13877357345237185 0.22320345395828203 -0.47496662861006483 0.8512267147169912 -0.1098272814201145 0.855443155792651 0.506117551032739,28.544465348558536 137.0122782277024 864.0989351600887,0.7484643459320068
000057,000001,4,0.0,-0.0914559601997843 0.986285150010036 0.13739508802579725 0.646684787058561 0.16374469879703957 -0.7449741336468607 -0.7572546424624673 0.02071898852617876 -0.6527910308693685,-35.93040783437007 57.80718780631375 903.7857766942334,1.8531074523925781
000057,000001,12,0.0,0.885989712720542 0.4530673395949254 0.09875330245489375 0.35753988152140326 -0.5318601409312638 -0.7676522804045052 -0.29527523105575937 0.7154402674444267 -0.6332122563911845,175.20546865970206 -85.12148420146579 1048.4011129352248,14.994906425476074
000057,000001,18,0.0,-0.8644606548298225 0.47395412731175157 -0.16755674100241522 -0.49504035131740964 -0.7446424978501748 0.4477081649501024 0.08742326245759827 0.46997344137685954 0.8783405589984222,24.69995414947941 16.317988818110873 1000.0035566320016,0.9275367259979248
000057,000001,20,0.0,1.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1.0,0.0 0.0 0.0,-0.0171201229095459
000057,000001,21,0.0,0.8287319428481219 -0.558076103342813 0.04188591387183929 -0.26506383788713167 -0.4573263338546501 -0.8488779571926753 0.49289403399485543 0.6923898376209511 -0.5269267349561145,65.06114688398114 12.183134370033544 1083.347105767748,0.4633610248565674
000048,000001,1,0.0,0.66470197890188 -0.7470840431986312 -0.00605901327857411 -0.2036065392103361 -0.17333965447220903 -0.9635858764937585 0.7188293653119036 0.6417310936719839 -0.2673304078847841,-35.443335217126545 -11.601326466899055 900.4902924905898,5.98146653175354
000048,000001,6,0.0,-0.8337792382542984 0.5477912566049803 -0.06882529362973044 0.19272245128660262 0.17195974772592804 -0.966068269809188 -0.5173685713552428 -0.8187518454019946 -0.24894814123560594,19.1473405432534 56.525095130834885 808.2499129920461,1.6051745414733887
000048,000001,14,0.0,0.846727509069239 -0.5309925150527897 0.03315832238391317 -0.1315933770942565 -0.2694133780490589 -0.9539914123476815 0.515495595025148 0.803407356629318 -0.2979948167729781,-27.82708384385993 -110.76703286641613 813.8101176664893,1.437621831893921
000048,000001,19,0.0,-0.6980113744996921 -0.7160866714784256 -0.0 0.5871285016673105 -0.5723083374958353 -0.5724886805541679 0.4099515137171098 -0.39960361079912987 0.8199126237821612,0.0 0.0 0.0,0.8362460136413574
000048,000001,20,0.0,0.22386045014013833 -0.9714394532179136 -0.07868854805329645 -0.7516828842183447 -0.12069872191980113 -0.6483861967223834 0.6203703252382768 0.20429686061858057 -0.757234080258639,71.81383500574212 -24.190173362169816 842.6913418269828,9.239652633666992
000049,000001,3,0.0,-0.08772964174430004 0.9493347795368852 0.30177307090108374 -0.7225252869311598 0.14790554767133607 -0.67533781081255 -0.6857555830647405 -0.2772858188398676 0.6729426832694165,18.494222760935717 -9.624263329511287 789.9898760985986,8.269209861755371
000049,000001,6,0.0,0.08561297918659094 -0.985608692766532 -0.14575981112036546 -0.6341107610140169 0.05893985035619764 -0.7709926308378139 0.768488100468069 0.15843484081172698 -0.6199390620504098,148.44385107200762 -95.89712343927928 933.941291137679,0.5392627716064453
000049,000001,9,0.0,-0.8107261359195509 -0.5838262194147594 -0.043244399184437815 -0.3680113113549061 0.5656960180882616 -0.7379401668386995 0.4552920021829905 -0.5823529519483476 -0.6734791994599755,-69.74481968786576 -67.00920950163395 921.2491741870821,1.6245734691619873
000049,000001,13,0.0,-0.9983747062504046 -0.03388394674883484 0.04582383737903678 -0.05682468354345857 0.653193426423814 -0.7550558277484543 -0.004347557889674645 -0.7564325652888297 -0.6540572397817765,24.77470495251232 50.147122230823186 855.7911528526606,7.344781875610352
000050,000620,2,0.0,0.9463347364168423 0.03178434457992815 0.32162139557325786 0.11970925198452914 0.889896287201193 -0.44017529805162453 -0.30020036915395376 0.45505423134518413 0.8383348882723858,53.44873110798778 -88.36911829050058 1057.7470025110927,14.550479888916016
000050,000620,4,0.0,1.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1.0,0.0 0.0 0.0,-0.014057636260986328
000050,000620,5,0.0,-0.47940405144306075 -0.8756784029325805 -0.05795765779794981 -0.4078697418848637 0.2807964933636258 -0.86878973461331 0.7770547143636372 -0.39286214369946126 -0.4917777007277881,92.19323299014506 -10.260762959590135 856.3039087699777,15.739323377609253
000050,000620,10,0.0,0.7274144683074406 0.6794113674523242 -0.09627245230888315 -0.5721202111975697 0.5230218401412139 -0.6317646861565994 -0.37887551416824433 0.5146341890234861 0.7691586287963538,-15.153134386606679 95.05090829969977 917.3061433097622,5.590049982070923
000050,000620,15,0.0,-0.9497996720111468 -0.2751108296312582 0.14897857049629237 -0.1341645988545684 -0.07201399286905097 -0.9883389323735299 0.28263128535551524 -0.9587116439527879 0.031488732709212264,-71.13430819957233 29.003004100603196 770.9401952491743,19.82977533340454
000051,000001,1,0.0,0.3753064589496724 -0.9261562237603933 0.03714446204411126 -0.4179611792133507 -0.2048668957096485 -0.8850638438626206 0.827317058050445 0.3166452340272636 -0.4639852166034778,37.24997511831735 -6.402979206207123 1052.294276107716,7.476357936859131
000051,000001,3,0.0,0.10647371657429969 0.9688228513292688 -0.22370880720499375 -0.8518346411114176 -0.027172475445100937 -0.5231055350316681 -0.512875318066134 0.24625990197433845 0.8223837114134442,-47.17678374642412 105.63256637220645 939.4645497127021,3.2091753482818604
000051,000001,4,0.0,-0.799115039719334 0.4229526841631408 -0.42723082783614974 0.06243538522437406 -0.6484247905123729 -0.758714118572252 -0.5979272330026885 -0.6329741843141629 0.4917587884578869,101.39300425259776 36.92451017599857 857.2542119143008,1.4929537773132324
000051,000001,12,0.0,0.860577116882735 -0.5091911044512438 -0.011464948561693528 -0.22472490949606458 -0.3594114699146327 -0.9057163520362148 0.45706207559781786 0.7820152264767775 -0.4237292114177273,-55.30864983977724 -77.56968412147182 1058.0692570747647,19.997475147247314
000051,000001,17,0.0,0.38708490311747346 0.915012447847051 0.11365517174103473 0.4482554714608379 -0.07903038045481353 -0.8904050939154545 -0.8057495330957123 0.3956089221063085 -0.4407508033639037,-132.74686439521187 98.41822343994325 998.6589593662853,1.8344407081604004
000052,000001,5,0.0,-0.5860923496442347 -0.7910662664427746 0.1752424599941158 -0.6139904892654215 0.29249327641258216 -0.7331189278316592 0.5286884118080407 -0.5372725987333826 -0.6571352356023601,65.79167977550118 74.18360262808194 874.0022976971147,7.887662649154663
000052,000001,6,0.0,-0.37817181620163853 -0.9204835283541346 0.09846903807531271 -0.6559080008515907 0.191362071281856 -0.7301816569139404 0.6532769488123883 -0.3407207532620241 -0.6761202529483459,-37.260195866306326 125.50867836360507 991.5923169470143,0.5687789916992188
000052,000001,11,0.0,0.7170188968977182 0.6614436852512859 0.21994579498771288 -0.3140476712734213 0.5882372890931704 -0.7452187275478649 -0.6223005396585481 0.46526244525161886 0.6295021011713655,9.714028676990047 -14.019651874044303 851.3441678993676,25.282265186309814
000053,000001,4,0.0,-0.046011019323957125 -0.9960662256314577 0.07573018062220888 -0.7054144669130181 -0.021279852452805947 -0.708475544919801 0.7073000890503216 -0.086018846980698 -0.7016604178614598,-29.333237995353308 68.5547944725531 785.1139374553109,3.12490177154541
000053,000001,9,0.0,-0.8436602256293644 0.5275146851376704 0.09982825579521207 0.30371788331610067 0.622273863004547 -0.7214781263318978 -0.44271082101638015 -0.5783627723025598 -0.6852033512538449,-39.38779455916925 6.947982287504201 858.729539408072,1.6668128967285156
000053,000001,13,0.0,0.9819229608377497 -0.004482434496768835 0.189227922782578 0.12772074355176977 0.7535136094813624 -0.6449067002233362 -0.1396950630702824 0.657417027545949 0.7404648143203286,122.54139179481126 59.03348525838757 807.0115316153491,7.826822280883789
000054,000001,2,0.0,-0.23405021503214563 0.9702509384096193 0.061916180103907204 0.49107008563501175 0.17294276510944961 -0.8537803997461642 -0.83908918944164 -0.16942230228500238 -0.5169385027743829,-127.14499866099959 -92.64683122745124 1051.234911442244,15.719242811203003
000054,000001,3,0.0,-0.295390660814092 0.5507501812918322 0.7806526726469513 0.7384034388845565 0.650101868348057 -0.1792426350337054 -0.6062216747587262 0.5234900176482634 -0.5987098483199903,-52.88304806468669 122.09176842970007 837.968329920753,11.335895776748657
000054,000001,12,0.0,-0.9620959106170985 -0.25047102685000433 0.10786901076101651 -0.23749131091664993 0.5750884273990847 -0.7828608930779068 0.13404975200628688 -0.77880521658522 -0.612774916757125,-132.90687611884312 -55.496292384193275 980.1558519643332,23.780519008636475
